external_course_key,course_id,course_name
2163-03740,2016-SPRI-PULLM-MBIOS-101-3740-LAB,2016-SPRI-PULLM-MBIOS-101-3740-LAB
2163-03739,2016-SPRI-PULLM-MBIOS-101-3739-LAB,2016-SPRI-PULLM-MBIOS-101-3739-LAB
2163-03738,2016-SPRI-PULLM-MBIOS-101-3738-LEC,2016-SPRI-PULLM-MBIOS-101-3738-LEC
2163-03737,2016-SPRI-PULLM-MBIOS-101-3737-LEC,2016-SPRI-PULLM-MBIOS-101-3737-LEC
2163-07297,2016-SPRI-ONLIN-MBIOS-101-7297-LAB,2016-SPRI-ONLIN-MBIOS-101-7297-LAB
2163-07296,2016-SPRI-ONLIN-MBIOS-101-7296-LEC,2016-SPRI-ONLIN-MBIOS-101-7296-LEC
2163-08310,2016-SPRI-SPOKA-MBIOS-578-8310-LAB,2016-SPRI-SPOKA-MBIOS-578-8310-LAB
2163-08308,2016-SPRI-SPOKA-MBIOS-578-8308-LEC,2016-SPRI-SPOKA-MBIOS-578-8308-LEC
2163-08309,2016-SPRI-SPOKA-MBIOS-478-8309-LAB,2016-SPRI-SPOKA-MBIOS-478-8309-LAB
2163-08307,2016-SPRI-SPOKA-MBIOS-478-8307-LEC,2016-SPRI-SPOKA-MBIOS-478-8307-LEC
2163-01565,2016-SPRI-TRICI-MBIOS-578-1565-LAB,2016-SPRI-TRICI-MBIOS-578-1565-LAB
2163-01563,2016-SPRI-TRICI-MBIOS-578-1563-LEC,2016-SPRI-TRICI-MBIOS-578-1563-LEC
2163-01564,2016-SPRI-TRICI-MBIOS-478-1564-LAB,2016-SPRI-TRICI-MBIOS-478-1564-LAB
2163-01562,2016-SPRI-TRICI-MBIOS-478-1562-LEC,2016-SPRI-TRICI-MBIOS-478-1562-LEC
2163-03804,2016-SPRI-PULLM-MBIOS-578-3804-LAB,2016-SPRI-PULLM-MBIOS-578-3804-LAB
2163-03802,2016-SPRI-PULLM-MBIOS-578-3802-LEC,2016-SPRI-PULLM-MBIOS-578-3802-LEC
2163-07308,2016-SPRI-ONLIN-MBIOS-578-7308-LAB,2016-SPRI-ONLIN-MBIOS-578-7308-LAB
2163-07306,2016-SPRI-ONLIN-MBIOS-578-7306-LEC,2016-SPRI-ONLIN-MBIOS-578-7306-LEC
2163-03803,2016-SPRI-PULLM-MBIOS-478-3803-LAB,2016-SPRI-PULLM-MBIOS-478-3803-LAB
2163-03801,2016-SPRI-PULLM-MBIOS-478-3801-LEC,2016-SPRI-PULLM-MBIOS-478-3801-LEC
2163-07307,2016-SPRI-ONLIN-MBIOS-478-7307-LAB,2016-SPRI-ONLIN-MBIOS-478-7307-LAB
2163-07305,2016-SPRI-ONLIN-MBIOS-478-7305-LEC,2016-SPRI-ONLIN-MBIOS-478-7305-LEC
2163-09030,2016-SPRI-VANCO-WOMEN_ST-305-9030-LEC,2016-SPRI-VANCO-WOMEN_ST-305-9030-LEC
2163-10006,2016-SPRI-PULLM-WOMEN_ST-305-10006-LEC,2016-SPRI-PULLM-WOMEN_ST-305-10006-LEC
2163-08859,2016-SPRI-PULLM-WOMEN_ST-305-8859-LEC,2016-SPRI-PULLM-WOMEN_ST-305-8859-LEC
2163-09029,2016-SPRI-VANCO-POL_S-305-9029-LEC,2016-SPRI-VANCO-POL_S-305-9029-LEC
2163-08722,2016-SPRI-PULLM-POL_S-305-8722-LEC,2016-SPRI-PULLM-POL_S-305-8722-LEC
2163-10005,2016-SPRI-PULLM-POL_S-305-10005-LEC,2016-SPRI-PULLM-POL_S-305-10005-LEC
2163-10004,2016-SPRI-ONLIN-POL_S-305-10004-LEC,2016-SPRI-ONLIN-POL_S-305-10004-LEC
2163-09591,2016-SPRI-PULLM-HISTORY-577-9591-LEC,2016-SPRI-PULLM-HISTORY-577-9591-LEC
2163-08764,2016-SPRI-PULLM-ASIA-477-8764-LEC,2016-SPRI-PULLM-ASIA-477-8764-LEC
2163-08640,2016-SPRI-PULLM-HISTORY-477-8640-LEC,2016-SPRI-PULLM-HISTORY-477-8640-LEC
2163-01322,2016-SPRI-TRICI-CPT_S-516-1322-LEC,2016-SPRI-TRICI-CPT_S-516-1322-LEC
2163-03987,2016-SPRI-PULLM-CPT_S-516-3987-LEC,2016-SPRI-PULLM-CPT_S-516-3987-LEC
2163-09449,2016-SPRI-PULLM-CPT_S-531-9449-LEC,2016-SPRI-PULLM-CPT_S-531-9449-LEC
2163-08978,2016-SPRI-PULLM-MATH-544-8978-LEC,2016-SPRI-PULLM-MATH-544-8978-LEC
2163-07717,2016-SPRI-ONLIN-CRM_J-491-7717-LEC,2016-SPRI-ONLIN-CRM_J-491-7717-LEC
2163-05952,2016-SPRI-PULLM-CRM_J-491-5952-LEC,2016-SPRI-PULLM-CRM_J-491-5952-LEC
2163-07464,2016-SPRI-ONLIN-CRM_J-523-7464-LEC,2016-SPRI-ONLIN-CRM_J-523-7464-LEC
2163-07772,2016-SPRI-SPOKA-CRM_J-523-7772-LEC,2016-SPRI-SPOKA-CRM_J-523-7772-LEC
2163-09658,2016-SPRI-PULLM-CRM_J-523-9658-LEC,2016-SPRI-PULLM-CRM_J-523-9658-LEC
2163-04348,2016-SPRI-PULLM-CRM_J-523-4348-LEC,2016-SPRI-PULLM-CRM_J-523-4348-LEC
2163-08325,2016-SPRI-SPOKA-H_D-420-8325-LEC,2016-SPRI-SPOKA-H_D-420-8325-LEC
2163-06346,2016-SPRI-PULLM-H_D-420-6346-LEC,2016-SPRI-PULLM-H_D-420-6346-LEC
2163-03868,2016-SPRI-PULLM-H_D-420-3868-LEC,2016-SPRI-PULLM-H_D-420-3868-LEC
2163-07428,2016-SPRI-ONLIN-H_D-420-7428-LEC,2016-SPRI-ONLIN-H_D-420-7428-LEC
2163-08304,2016-SPRI-SPOKA-MBIOS-580-8304-LEC,2016-SPRI-SPOKA-MBIOS-580-8304-LEC
2163-07311,2016-SPRI-ONLIN-MBIOS-580-7311-LEC,2016-SPRI-ONLIN-MBIOS-580-7311-LEC
2163-03816,2016-SPRI-PULLM-MBIOS-580-3816-LEC,2016-SPRI-PULLM-MBIOS-580-3816-LEC
2163-02310,2016-SPRI-PULLM-AGTM-412-2310-LEC,2016-SPRI-PULLM-AGTM-412-2310-LEC
2163-04931,2016-SPRI-PULLM-ANIM_SCI-408-4931-LEC,2016-SPRI-PULLM-ANIM_SCI-408-4931-LEC
2163-06545,2016-SPRI-VANCO-ED_AD-513-6545-LEC,2016-SPRI-VANCO-ED_AD-513-6545-LEC
